Monitoring Period Date,NPDES Permit Number,Facility Name,City,State,ZIP Code,County,Total Facility Design Flow (MGD),Parameter Description,Pollutant Load (kg/period),Average Daily Load (kg/day),Average Concentration (mg/L),% Load from DMRs,% Load from Limits,Max Allowable Load (kg/period),Load Over Limit (Option 1) (kg/period),Load Over Limit (Option 2) (kg/period),Wastewater Flow (MGal/period),Average Daily Flow (MGD),Average Wastewater pH
8/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"BOD, carbonaceous, 05 day, 20 C",,,,100,0,71.3,0,,0.217,0.007,
8/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"BOD, carbonaceous, 05 day, 20 C",12.4,0.4,1.124258692,100,0,682,0,-669.6,2.914,0.094,7
8/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"BOD, carbonaceous, 05 day, 20 C",2263,73,2.216857225,100,0,17670,0,-15407,269.7,8.7,7.3
8/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"BOD, carbonaceous, 05 day, 20 C",,,0,100,0,17.67,0,,0,0,
8/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Chlorine, total residual",,,,100,0,0.00657076,0,,0.217,0.007,7.8
8/31/17,VA0076244,STONE-ROBINSON ELEMENTARY,CHARLOTTESVILLE,VA,22901,ALBEMARLE,0.007,"Chlorine, total residual",0.1525355,0.0049205,1.3,100,0,0.23467,0,-0.0821345,0.031,0.001,7.2
8/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,E. coli,0.821345,0.026495,1,100,0,103.48947,0,-102.668125,0.217,0.007,7.8
8/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,E. coli,22.05898,0.71158,2,100,0,1389.71574,0,-1367.65676,2.914,0.094,7
8/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,E. coli,1020.8145,32.9295,1,100,0,128622.627,0,-127601.8125,269.7,8.7,7.3
8/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,E. coli,,,,100,0,0,0,,0,0,
8/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,Nitrite plus nitrate total 1 det. (as N),1369.463719,44.176249,1.34,100,0,0,0,,270.01,8.71,
8/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Nitrogen, ammonia total (as N)",,,,100,0,3.449649,0,,0.217,0.007,
8/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"Nitrogen, ammonia total (as N)",306.24435,9.87885,0.3,100,0,2245.7919,0,-1939.54755,269.7,8.7,
8/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"Nitrogen, ammonia total (as N)",,,,100,0,0,0,,0,0,
8/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"Nitrogen, Kjeldahl, total (as N)",,,,100,0,434,0,,2.914,0.094,7
8/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Nitrogen, Kjeldahl, total (as N)",347.475869,11.208899,0.34,100,0,0,0,,270.01,8.71,
8/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Nitrogen, total (as N)",1716.939588,55.385148,1.68,100,0,0,0,,270.01,8.71,
